item_id,title,images,categories,description,details,average_rating,rating_number
b000h4w7vy,"dressage todayÿ,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/516gCtlbz8L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/516gCtlbz8L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91GivHbZfcL._AC_SL1500_.jpg'}",magazine subscriptions,"when you can get your horse to execute complicated maneuvers with a tiny, imperceptible movement of your body, that's an art and a skill that can take you to the olympics. this magazine features profiles of the leading dressage riders, along with techniques, advice and inspiration from the experts.","{'Date First Available': 'September 19, 2006', 'Manufacturer': 'Active Interest Media'}",4.3,35
b00n5tya54,entertainment weekly september 5 2014 {the walking dead exclusive},"{'thumb': 'https://m.media-amazon.com/images/I/51pqlTgRVrL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51pqlTgRVrL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91EowkF3fqL._AC_SL1500_.jpg'}",magazine subscriptions,"entertainment weekly, september 5, 2014-the walking ... www.amazon.com/entertainment-september-2014-the-wa... amazon.com entertainment weekly, september 5, 2014-the walking dead-andrew lincoln as ... prime members also enjoy free two-day shipping, exclusive access to ...","{'Package Dimensions': '10.5 x 9 x 0.3 inches; 0.01 Ounces', 'Date First Available': 'August 30, 2014'}",4.6,3
b0047viami,popular woodworking,"{'thumb': 'https://m.media-amazon.com/images/I/61JY+8AfU1L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61JY+8AfU1L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61U+PjkVC2L._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'October 20, 2010'}",4.4,548
b00006kzdh,texas architect,"{'thumb': 'https://m.media-amazon.com/images/I/51+te-vEd7L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51+te-vEd7L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'September 16, 2006'}",5.0,2
b00005uq67,cowboys & indians,"{'thumb': 'https://m.media-amazon.com/images/I/51kZ-GnsaKL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51kZ-GnsaKL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/613+4QwY6pL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 19, 2006'}",4.6,352
b0001bnq5e,"people en espanol,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61vM4NJJ0KL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61vM4NJJ0KL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91hMQnxWh3L._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'November 1, 2014', 'Manufacturer': 'Meredith Corporation'}",4.2,798
b0001vld5e,figure,"{'thumb': 'https://m.media-amazon.com/images/I/51tWnUFpQ6L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51tWnUFpQ6L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'March 14, 2023'}",3.0,9
b00006k2ie,"air forces monthly,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/511-7Je1BAL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/511-7Je1BAL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71Ye6Isc4EL._AC_SL1024_.jpg'}",magazine subscriptions,"includes current news on all aspects of military aviation including the world's 'hotspots' and reports on the strengths of international air forces, their conflicts, weaponry and exercises.provides insight into the latest military technology and offers a feedback section and color photography.","{'Date First Available': 'September 14, 2006', 'Manufacturer': 'Key Publishing Ltd /Units 1-4'}",4.8,14
b0160cn1yi,"faces,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/4191aVe2I8L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/4191aVe2I8L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61nQrc6BruL._AC_SL1024_.jpg'}",magazine subscriptions,"faces helps kids ages 9 to above (grades 4 and up) understand how people in other countries and cultures live. each issue focuses on a different culture - from jordan to the emerging asian states - including stories about daily life, folk tales, and history and traditions of the people and places.","{'Date First Available': 'September 30, 2015', 'Manufacturer': 'Cricket Media'}",4.3,106
b0123uldnw,"condé nast traveler all access + free tote & digital gold list,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51F8JPfOBXL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51F8JPfOBXL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71he4FwESjL._AC_SL1020_.jpg'}",magazine subscriptions,"at�cond� nast traveler,�we inspire action for trips both big and small. we tell you where to go and what to do. we�re here to give you exactly what you need, when you need it, so that wherever you are, you feel at home in the world. because, finally, that�s what it means to be a traveler.� an annual subscription also includes our must-have gold list, reader's choice and hot list issues.","{'Date First Available': 'July 20, 2015', 'Manufacturer': 'Conde Nast'}",3.7,3
b003i7hs5m,ranger rick jr.,"{'thumb': 'https://m.media-amazon.com/images/I/51FrDruPuRL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51FrDruPuRL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1JxWY2-8aL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'April 20, 2010'}",4.7,1959
b00006k1c5,"d abruzzo,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51VEFJGY7KL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51VEFJGY7KL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"abruzzo offers the reader a wealth of tourist and cultural information about the italian region of abruzzo. one finds within the pages of this magazine details about individual villages, folklore and traditions, nature parks, tourist itineraries, and museums.","{'Date First Available': 'September 14, 2006', 'Manufacturer': 'Edizioni Menabo Srl'}",3.0,2
b00avcrab4,how it works,"{'thumb': 'https://m.media-amazon.com/images/I/51J7ESiP3jL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51J7ESiP3jL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/715zFKq75yL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'January 1, 2013'}",4.4,101
b01bj90u5a,"military kids life,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51F9H2CrH1L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51F9H2CrH1L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"military kids' life is an award winning magazine for children of u.s. service members. with its entertaining stories, military kid-friendly tips, facts about military life, colorful photos, and creative activities, military kids life encourages kids to focus on the bright side of their unique life.","{'Date First Available': 'February 6, 2016', 'Manufacturer': 'Chameleon Kids'}",5.0,7
b00006kpdp,nature friend magazine,"{'thumb': 'https://m.media-amazon.com/images/I/61ahB4xvR5L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61ahB4xvR5L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'October 28, 2020'}",4.4,33
b00005n7vo,"dance spirit,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61BcbxIJnfL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61BcbxIJnfL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81uxnBEg9NL._AC_SL1500_.jpg'}",magazine subscriptions,"dance spirit beats to the pulse of the teen dance world. the hottest up-and-coming dancers, fashion, training and technique advice, plus health & fitness.","{'Date First Available': 'September 14, 2006', 'Manufacturer': 'Dance Media, LLC'}",4.2,37
b00005n7sv,sport fishing,"{'thumb': 'https://m.media-amazon.com/images/I/51i4ZqHIbtL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51i4ZqHIbtL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71HW1NXa8wL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'February 16, 2018'}",4.4,88
b01a02pk4i,"woman's world,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/71nHb+whZ+L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/71nHb+whZ+L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91086KmR8vL._AC_SL1500_.jpg'}",magazine subscriptions,"product description, the warmhearted weekly magazine for busy women. includes recipes, tips for organizing the home and much more., amazon.com review, woman's world magazine is one of the top lifestyle magazines in the world. with an emphasis on women's needs, each issue covers health, fitness, fashion, cooking, and decorating. the glossy pages of this magazine provides readers with decorating tips for the home, tips on which fashions flatter different body types, and recipes for home-cooked dinners.  health and fitness are important topics for women, and woman's world magazine covers those issues in a friendly way. from leading experts who discuss the importance of healthy eating to stories from readers who have lost dozens of pounds, each issue provides inspiration to help you lose weight and facts that will help you get in shape. the issues also include swaps that you can make in your meal plan to cut back on calories and fat.  every issue of woman's world magazine includes a variety of recipes and meal plans you can use for weekly family dinners, mid-week meals, and special occasion dinners. you can use the meals as-is or mix and match those recipes with your favorite dishes for greater variety. prior to major holidays, the issues include ideas for decorating your home for the holidays and creating special dishes to share with loved ones, such as a cake shaped like a bunny for easter or cookie recipes to make and share during the christmas season.  a subscription to woman's world magazine provides you with hundreds of recipes for holidays and family dinners, decorating ideas, and fashion tips for home and the office.","{'Date First Available': 'December 30, 2015', 'Manufacturer': 'Bauer Publishing'}",4.6,2982
b09wxmb2bt,remind,"{'thumb': 'https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_SR38,50_.gif', 'large': 'https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_.gif', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'April 5, 2022'}",3.2,3
b06xqc8j5k,"bon appetit,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61doh78kPKL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61doh78kPKL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81Z+y14mN-L._AC_SL1024_.jpg'}",magazine subscriptions,"bon appétit focuses on what's ""now"" in the world of food, drink and entertaining. each issue is filled with valuable cooking tips, tricks and most of all, recipes. enjoy great menus, cozy dinners and advice from some of the best writers in food. don't miss out — subscribe today!","{'Date First Available': 'March 17, 2017', 'Manufacturer': 'Conde Nast'}",4.7,30
b002pxw01w,charisma,"{'thumb': 'https://m.media-amazon.com/images/I/51azqHe-BaL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51azqHe-BaL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91Jkvdhwx+L._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 22, 2009'}",4.1,41
b002pxvyri,shooting times,"{'thumb': 'https://m.media-amazon.com/images/I/61IPtdmRRKL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61IPtdmRRKL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61GkJtydspL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 22, 2009'}",4.7,624
b00006kkkr,"journal of the operations research society of japan,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/41GZT0D150L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41GZT0D150L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,publishes materials of interest to or practitioners.,"{'Date First Available': 'September 14, 2006', 'Manufacturer': 'Operations Resrch Soc of Japan'}",1.0,1
b00j83m77y,life magazine remembering kurt cobain 20 years later [single issue] 2014,"{'thumb': 'https://m.media-amazon.com/images/I/61pub7VcwcL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61pub7VcwcL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1spxU-qnFL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Package Dimensions': '10.8 x 8.5 x 0.3 inches; 9.6 Ounces', 'Date First Available': 'March 25, 2014'}",4.3,5
b01lw2kyj7,"food network magazine,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61sv2Fjx6fL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61sv2Fjx6fL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81dPnsmeWvL._AC_SL1232_.jpg'}",magazine subscriptions,food network magazine is here. each issue is packed with inside scoops & tips from everyone’s favorite tv stars. plus hundreds of recipes!,"{'Date First Available': 'September 9, 2016', 'Manufacturer': 'Hearst Magazines'}",4.4,11
b000310l82,"eatingwell,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61j2TY4veJL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61j2TY4veJL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"amazon.com review, who reads, eatingwell, ?, what's for dinner? is it healthy? is it easy? if you ask these questions,, eatingwell, is for you. the magazine ""where good taste meets good health,"", eatingwell, delivers the information and inspiration its 350,000 paid subscribers need to make healthy eating a way of life with great, easy recipes (most take 45 minutes or less), the latest nutrition science, gorgeous photos and crisp, evocative prose., what you can expect in each issue:, fresh: news from the world of food., fresh:, news from the world of food., healthy in a hurry: fantastic, quick recipes that meet our strict nutrition parameters yet are delicious and simple to make., healthy in a hurry:, fantastic, quick recipes that meet our strict nutrition parameters yet are delicious and simple to make., nutrition news to live by: words of advice from top scientists., nutrition news to live by:, words of advice from top scientists., eatingwell by season: delicious recipes based on what's in season and fresh now., eatingwell, by season:, delicious recipes based on what's in season and fresh now., special report: in-depth, award-winning journalism about new findings in nutrition science, where our food comes from and how it is produced., special report:, in-depth, award-winning journalism about new findings in nutrition science, where our food comes from and how it is produced., feature articles: eatingwell examines the connections among food, its origins and its impact on communities. these are some of the recent topics covered in eatingwell features: do you really need supplements?, the search for the anti-aging diet, how to grow your own salads, why buffalo is back., feature articles:, eatingwell, examines the connections among food, its origins and its impact on communities. these are some of the recent topics covered in, eatingwell, features: do you really need supplements?, the search for the anti-aging diet, how to grow your own salads, why buffalo is back., magazine layout:, eatingwell, is rare in that every recipe is accompanied by a beautiful, realistic photo showing what the dish will look like. luscious photos are part of the brand, along with simple recipes and strong writing., contributors:, award-winning writers (rachael moeller gorman,, david dobbs, ,, bill mckibben, ,, rowan jacobsen, ) and nutrition science professionals, such as, marion nestle, ,, dr. philip ades, ,, brian wansink, , come together in the pages of, eatingwell, ., past issues:, comparisons to other magazines:, unlike, cooking light, ,, eatingwell, is the only magazine to focus uniquely on the intersection of food and health and ""origins""—where the food comes from., advertisers:, eatingwell, 's pages are at least 60% editorial. the remaining 40% is paid advertising from companies promoting healthy foods, products and lifestyles, often in the natural and organic space., awards:, eatingwell, has been named one of the top 3 food magazine for the last 3 years (folio: eddie award). it also won a james beard foundation journalism award for nutrition reporting in 2008 and an iacp bert greene award for best food essay. the, eatingwell, diet was named one of the top 10 best diet cookbooks last year by health magazine and cnn.","{'Date First Available': 'September 19, 2006', 'Manufacturer': 'Meredith Corporation'}",4.4,7624
b0012ye7kw,"handmade business,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51ivZyq+DZL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ivZyq+DZL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"handmade business is the definitive print and digital resource for artists and entrepreneurs. it provides new resources, industry news, and valuable business advice to help artists build their businesses. it also provides various advertising opportunities for wholesale vendors to reach new buyers.","{'Date First Available': 'January 23, 2008', 'Manufacturer': 'JP Media LLC'}",4.1,16
b00006kl5e,"kerrang - england,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61DABAQ0EHL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61DABAQ0EHL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"rock magazine covering all forms of music from slipknot to marilyn manson, limp bizkit to the offspring and everything in between.","{'Date First Available': 'September 14, 2006', 'Manufacturer': 'Imb Marketing Ltd Unit 6'}",3.3,3
b00o85c28q,"healthy living magazine,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51CBuQuwaKL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51CBuQuwaKL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"""hl explodes the boring granola-vegetable prejudice of health & covers all sides of healthy living, empowering a new standard of life-intelligent, sophisticated, fashionable, and glamorous health feeding the fundamental desire for a healthy & beautiful body.""","{'Date First Available': 'October 6, 2014', 'Manufacturer': 'Healthy Living Media Group'}",3.5,7
b073lny248,"architectural digest,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61iA3gEMeAL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61iA3gEMeAL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71zBBzLY+VL._AC_SL1024_.jpg'}",magazine subscriptions,"product description, architectural digest is the international authority in design. get insider access into the world's most beautiful homes through stunning photography and stories from some of the best writers in the industry. from classic to contemporary styles —, ad, has it all. your subscription will also include the annual special issues:, before & after and designers own homes, . subscribe today!, amazon.com review, filled to the brim with articles, pictures, and features on both interior and exterior architecture and design, architectural digest magazine is a great resource for ideas, inspiration, and entertainment for designers and design enthusiasts.  many issues of architectural digest magazine take on central themes, so there is always something new and special to look forward to each month. the content editors love to present the latest and greatest in design, and you'll find pictures and feature articles spotlighting homeowners who live a variety of lifestyles. unique structural techniques and the incorporation of recycled or alternative materials are just some examples of what you will find.  special features like designer spotlights and before and after articles round out the content in architectural digest magazine. if you love seeing the transformation of a drab space into something fabulous, you'll enjoy these features. the magazine is substantial in size, and you'll find yourself flipping through it again and again.  whether you're looking for inspiration for your own space or just enjoy seeing the finest offerings of the design world, architectural digest magazine is a large-sized publication that delivers exactly what you're seeking.","{'Date First Available': 'July 6, 2017', 'Manufacturer': 'Conde Nast'}",4.6,27
b00b8c8ssk,"bbc music,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/512qJ-BBePL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/512qJ-BBePL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71buF5-hwaL._AC_SL1024_.jpg'}",magazine subscriptions,"bbc music is passionate about the world of classical music and provides an expert monthly guide to everything an enthusiast needs to know. covering all aspects of live events, broadcast and recordings, it gives you unrivalled access to the greatest musicians, the sharpest writers, and the opinions that matter. each issue also comes with an exclusive cover cd presenting a complete bbc work.","{'Date First Available': 'January 30, 2013', 'Manufacturer': 'Immediate Media Company'}",4.4,46
b004ozkydk,"bassin',print magazine","{'thumb': 'https://m.media-amazon.com/images/I/6191-owbHzL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/6191-owbHzL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1maPUzaLHL._AC_SL1500_.jpg'}",magazine subscriptions,"this magazine is edited for the weekend bass angler. regular features include how-to stories on proper use of fishing tackle, lures and equipment, proper fishing techniques and the best locations to catch bass. it also includes reviews of new fishing tackle and equipment.","{'Date First Available': 'February 23, 2011', 'Manufacturer': 'American Angler Publications, Inc.'}",2.8,4
b00jfikici,brainspace,"{'thumb': 'https://m.media-amazon.com/images/I/61EevzmkyWL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61EevzmkyWL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71IKMvHV6wL._AC_SL1280_.jpg'}",magazine subscriptions,,"{'Date First Available': 'April 4, 2014'}",3.5,6
b001thpa1c,"good housekeeping,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/71RHDeLdFxL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/71RHDeLdFxL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'February 19, 2014'}",4.6,7291
b00006k2mr,"ajia keizai,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_SR38,50_.gif', 'large': 'https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_.gif', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'September 14, 2006'}",1.0,1
b000dzvj34,twin & turbine,"{'thumb': 'https://m.media-amazon.com/images/I/51+5B4fpLbL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51+5B4fpLbL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'September 16, 2006'}",4.5,2
b00283lgqo,"motorcycle consumer news,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51zgZrrY0KL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51zgZrrY0KL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71ZvE5oSWyL._AC_SL1024_.jpg'}",magazine subscriptions,"amazon.com review, motorcycle consumer news magazine is one of the top magazines for motorcycle lovers. unlike other publications that use articles from any writer, this magazine only publishes pieces written by motorcycle enthusiasts, and the experience of those writers oozes off every page. whether it's tips for riding around town or information on top destinations for motorcycle riders, every issue focuses on bikers.  safety is an important component of riding, and each issue of motorcycle consumer news magazine focuses on staying safe. proficient motorcycling gives you tips on how to improve your performance, while mental motorcycling deals with ways to change your thought process while on your bike. the magazine even has a medical motorcycling section that discusses medical issues that can arise as the result of long-term riding, and what you can do to prevent those conditions.  motorcycle consumers news magazine lists the newest recall notices from manufacturers in its mc bulletins section, which also highlights the hottest news stories in the industry. you will even find a cycle attorney section that answers questions from readers on safety and legal issues on the road, and some readers will page through to the what's happening section to get information on riding tours and other motorcycling events. you can also read uplifting feature stories from riders and find reviews from experts on the latest motorcycle equipment, gear, and tools.  a subscription to motorcycle consumer news magazine helps you stay safe, discover answers to your motorcyling questions, and get information on recalls.","{'Date First Available': 'April 30, 2009', 'Manufacturer': 'I-5 Publishing'}",4.4,267
b002pxvyhi,"horse & rider,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61uUCtB-ZyL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61uUCtB-ZyL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81rJKoMK3KL._AC_SL1500_.jpg'}",magazine subscriptions,"horse&rider is a forward-thinking brand for the western horse owner who seeks training advice, horsekeeping insights, trail-riding tips, and insights into western life. whether you're a competitive or recreational rider, h&r provides you with useful training articles, practical stable-management techniques, hands-on health care advice, safe trail-riding practices, informative reports on the equine industry, behind-the-scenes looks at equine events, and profiles of western influencers.","{'Date First Available': 'September 22, 2009', 'Manufacturer': 'Active Interest Media'}",4.6,174
b003uculay,"official xbox magazine,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61ENftAY2rL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61ENftAY2rL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71OUai7WPzL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'July 3, 2010', 'Manufacturer': 'Future US, Inc.'}",3.4,4
b00006kqd1,non-sport update,"{'thumb': 'https://m.media-amazon.com/images/I/51TKpItliEL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51TKpItliEL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/711j0sOsneL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 16, 2006'}",3.0,4
b00006kll1,landscape architecture,"{'thumb': 'https://m.media-amazon.com/images/I/61kC8iqb7aL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61kC8iqb7aL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'September 14, 2006'}",3.4,11
b00006kvrj,rubberstampmadness - rubber stamp madness,"{'thumb': 'https://m.media-amazon.com/images/I/51+aejsVMlL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51+aejsVMlL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'September 16, 2006'}",4.4,10
b00008bfwb,"sky & telescope,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/41BjjW+fi4L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41BjjW+fi4L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61RBjzzTZbL._AC_SL1024_.jpg'}",magazine subscriptions,"the complete resource for amateur astronomers for over 70 years, sky & telescope provides readers with information on observing the sky, offering reviews and buyer's guide information on the latest products as well as tips, how-to's and much more. published 12 times a year.","{'Date First Available': 'September 18, 2006', 'Manufacturer': 'The American Astronomical Society'}",4.7,148
b00kmedo7k,lakeland boating,"{'thumb': 'https://m.media-amazon.com/images/I/61Hs6z2d8lL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61Hs6z2d8lL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91YTpY039eL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'May 28, 2014'}",3.7,4
b007wvvlqc,naples illustrated,"{'thumb': 'https://m.media-amazon.com/images/I/51rB1Rjva6S._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51rB1Rjva6S._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'April 24, 2012'}",4.0,2
b0073k07fs,art et decoration,"{'thumb': 'https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_SR38,50_.gif', 'large': 'https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_.gif', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'October 28, 2020'}",5.0,2
b002pxvyve,"travel + leisure,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/71wngDI-nmL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/71wngDI-nmL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'September 22, 2009'}",4.4,2619
b00vatzie8,"veranda print edition,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51h7ZXXjk4L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51h7ZXXjk4L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71YpSNWK0SL._AC_SL1020_.jpg'}",magazine subscriptions,,"{'Date First Available': 'June 2, 2020', 'Manufacturer': 'Hearst Magazines'}",4.5,3
